[0.000000] (-) TimerEvent: {}
[0.000722] (ur_description) JobQueued: {'identifier': 'ur_description', 'dependencies': OrderedDict()}
[0.104537] (ur_description) StdoutLine: {'line': b'-- Execute custom install script\n'}
[0.105729] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/initial_positions.yaml\n'}
[0.106232] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur10/default_kinematics.yaml\n'}
[0.106558] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur10/joint_limits.yaml\n'}
[0.106961] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur10/physical_parameters.yaml\n'}
[0.107202] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur10/visual_parameters.yaml\n'}
[0.107366] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur10e/default_kinematics.yaml\n'}
[0.107516] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur10e/joint_limits.yaml\n'}
[0.107880] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur10e/physical_parameters.yaml\n'}
[0.108152] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur10e/visual_parameters.yaml\n'}
[0.108305] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur12e/default_kinematics.yaml\n'}
[0.108447] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur12e/joint_limits.yaml\n'}
[0.108596] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur12e/physical_parameters.yaml\n'}
[0.108793] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur12e/visual_parameters.yaml\n'}
[0.108930] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur15/default_kinematics.yaml\n'}
[0.109063] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur15/joint_limits.yaml\n'}
[0.109195] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur15/physical_parameters.yaml\n'}
[0.109327] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur15/visual_parameters.yaml\n'}
[0.109461] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur16e/default_kinematics.yaml\n'}
[0.109608] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur16e/joint_limits.yaml\n'}
[0.109757] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur16e/physical_parameters.yaml\n'}
[0.109891] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur16e/visual_parameters.yaml\n'}
[0.110025] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur20/default_kinematics.yaml\n'}
[0.110164] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur20/joint_limits.yaml\n'}
[0.110422] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur20/physical_parameters.yaml\n'}
[0.110715] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur20/visual_parameters.yaml\n'}
[0.110858] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur3/default_kinematics.yaml\n'}
[0.110985] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur3/joint_limits.yaml\n'}
[0.111111] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur3/physical_parameters.yaml\n'}
[0.111235] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur3/visual_parameters.yaml\n'}
[0.111359] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur30/default_kinematics.yaml\n'}
[0.111557] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur30/joint_limits.yaml\n'}
[0.111708] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur30/physical_parameters.yaml\n'}
[0.111837] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur30/visual_parameters.yaml\n'}
[0.111964] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur3e/default_kinematics.yaml\n'}
[0.112098] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur3e/joint_limits.yaml\n'}
[0.112232] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur3e/physical_parameters.yaml\n'}
[0.112369] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur3e/visual_parameters.yaml\n'}
[0.112504] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur5/default_kinematics.yaml\n'}
[0.112710] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur5/joint_limits.yaml\n'}
[0.112850] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur5/physical_parameters.yaml\n'}
[0.112976] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur5/visual_parameters.yaml\n'}
[0.113099] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur5e/default_kinematics.yaml\n'}
[0.113221] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur5e/joint_limits.yaml\n'}
[0.113343] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur5e/physical_parameters.yaml\n'}
[0.113469] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur5e/visual_parameters.yaml\n'}
[0.113603] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur7e/default_kinematics.yaml\n'}
[0.113738] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur7e/joint_limits.yaml\n'}
[0.113862] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur7e/physical_parameters.yaml\n'}
[0.113984] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur7e/visual_parameters.yaml\n'}
[0.114121] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur8long/default_kinematics.yaml\n'}
[0.114260] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur8long/joint_limits.yaml\n'}
[0.114393] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur8long/physical_parameters.yaml\n'}
[0.114678] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur8long/visual_parameters.yaml\n'}
[0.114822] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/launch/display.launch.py\n'}
[0.115010] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/launch/gazebo.launch.py\n'}
[0.115150] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/launch/view_ur.launch.py\n'}
[0.115296] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/meshes/ur10/collision/base.stl\n'}
[0.115434] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/meshes/ur10/collision/forearm.stl\n'}
[0.115568] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/meshes/ur10/collision/shoulder.stl\n'}
[0.115833] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/meshes/ur10/collision/upperarm.stl\n'}
[0.116002] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/meshes/ur10/collision/wrist1.stl\n'}
[0.116147] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/meshes/ur10/collision/wrist2.stl\n'}
[0.116291] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/meshes/ur10/collision/wrist3.stl\n'}
[0.116543] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/meshes/ur10/visual/base.dae\n'}
[0.116758] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/meshes/ur10/visual/forearm.dae\n'}
[0.116913] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/meshes/ur10/visual/shoulder.dae\n'}
[0.117058] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/meshes/ur10/visual/upperarm.dae\n'}
[0.117207] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/meshes/ur10/visual/wrist1.dae\n'}
[0.117363] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/meshes/ur10/visual/wrist2.dae\n'}
[0.117521] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/meshes/ur10/visual/wrist3.dae\n'}
[0.117805] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/meshes/ur10e/collision/base.stl\n'}
[0.117969] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/meshes/ur10e/collision/bowl.stl\n'}
[0.118122] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/meshes/ur10e/collision/forearm.stl\n'}
[0.118265] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/meshes/ur10e/collision/shoulder.stl\n'}
