[0.000000] (-) TimerEvent: {}
[0.000452] (ur_description) JobQueued: {'identifier': 'ur_description', 'dependencies': OrderedDict()}
[0.101674] (ur_description) StdoutLine: {'line': b'-- Execute custom install script\n'}
[0.102845] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/initial_positions.yaml\n'}
[0.103185] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur10/default_kinematics.yaml\n'}
[0.103332] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur10/joint_limits.yaml\n'}
[0.103600] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur10/physical_parameters.yaml\n'}
[0.103767] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur10/visual_parameters.yaml\n'}
[0.103893] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur10e/default_kinematics.yaml\n'}
[0.104008] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur10e/joint_limits.yaml\n'}
[0.104340] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur10e/physical_parameters.yaml\n'}
[0.104476] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur10e/visual_parameters.yaml\n'}
[0.104592] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur12e/default_kinematics.yaml\n'}
[0.104702] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur12e/joint_limits.yaml\n'}
[0.104811] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur12e/physical_parameters.yaml\n'}
[0.104918] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur12e/visual_parameters.yaml\n'}
[0.105026] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur15/default_kinematics.yaml\n'}
[0.105132] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur15/joint_limits.yaml\n'}
[0.105251] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur15/physical_parameters.yaml\n'}
[0.105362] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur15/visual_parameters.yaml\n'}
[0.105468] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur16e/default_kinematics.yaml\n'}
[0.105698] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur16e/joint_limits.yaml\n'}
[0.105906] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur16e/physical_parameters.yaml\n'}
[0.106039] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur16e/visual_parameters.yaml\n'}
[0.106160] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur20/default_kinematics.yaml\n'}
[0.106364] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur20/joint_limits.yaml\n'}
[0.106486] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur20/physical_parameters.yaml\n'}
[0.106652] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur20/visual_parameters.yaml\n'}
[0.106772] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur3/default_kinematics.yaml\n'}
[0.106887] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur3/joint_limits.yaml\n'}
[0.107001] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur3/physical_parameters.yaml\n'}
[0.107115] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur3/visual_parameters.yaml\n'}
[0.107236] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur30/default_kinematics.yaml\n'}
[0.107448] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur30/joint_limits.yaml\n'}
[0.107615] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur30/physical_parameters.yaml\n'}
[0.107723] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur30/visual_parameters.yaml\n'}
[0.107859] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur3e/default_kinematics.yaml\n'}
[0.107975] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur3e/joint_limits.yaml\n'}
[0.108089] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur3e/physical_parameters.yaml\n'}
[0.108209] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur3e/visual_parameters.yaml\n'}
[0.108371] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur5/default_kinematics.yaml\n'}
[0.108483] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur5/joint_limits.yaml\n'}
[0.108587] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur5/physical_parameters.yaml\n'}
[0.108693] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur5/visual_parameters.yaml\n'}
[0.108797] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur5e/default_kinematics.yaml\n'}
[0.108901] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur5e/joint_limits.yaml\n'}
[0.109005] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur5e/physical_parameters.yaml\n'}
[0.109110] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur5e/visual_parameters.yaml\n'}
[0.109219] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur7e/default_kinematics.yaml\n'}
[0.109331] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur7e/joint_limits.yaml\n'}
[0.109435] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur7e/physical_parameters.yaml\n'}
[0.109539] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur7e/visual_parameters.yaml\n'}
[0.109643] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur8long/default_kinematics.yaml\n'}
[0.109749] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur8long/joint_limits.yaml\n'}
[0.109854] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur8long/physical_parameters.yaml\n'}
[0.110002] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/config/ur8long/visual_parameters.yaml\n'}
[0.110116] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/launch/display.launch.py\n'}
[0.110312] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/launch/gazebo.launch.py\n'}
[0.110447] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/launch/view_ur.launch.py\n'}
[0.110561] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/meshes/ur10/collision/base.stl\n'}
[0.110674] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/meshes/ur10/collision/forearm.stl\n'}
[0.110786] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/meshes/ur10/collision/shoulder.stl\n'}
[0.110898] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/meshes/ur10/collision/upperarm.stl\n'}
[0.111010] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/meshes/ur10/collision/wrist1.stl\n'}
[0.111166] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/meshes/ur10/collision/wrist2.stl\n'}
[0.111445] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/meshes/ur10/collision/wrist3.stl\n'}
[0.111694] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/meshes/ur10/visual/base.dae\n'}
[0.111834] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/meshes/ur10/visual/forearm.dae\n'}
[0.111958] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/meshes/ur10/visual/shoulder.dae\n'}
[0.112078] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/meshes/ur10/visual/upperarm.dae\n'}
[0.112210] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/meshes/ur10/visual/wrist1.dae\n'}
[0.112427] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/meshes/ur10/visual/wrist2.dae\n'}
[0.112542] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/meshes/ur10/visual/wrist3.dae\n'}
[0.112654] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/meshes/ur10e/collision/base.stl\n'}
[0.112767] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/meshes/ur10e/collision/bowl.stl\n'}
[0.112879] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/meshes/ur10e/collision/forearm.stl\n'}
[0.112992] (ur_description) StdoutLine: {'line': b'-- Up-to-date symlink: /home/nithish/robotic_arm_ws/install/ur_description/share/ur_description/meshes/ur10e/collision/shoulder.stl\n'}
